Timestamp,Flow Duration,Source IP,Source Port,Destination IP,Destination Port,Protocol,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Label
2026-09-20 08:30:00,6611232,192.168.10.48,61205,192.168.1.7,53,17,24,43,10768,12649,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,1965298,192.168.10.32,55744,192.168.1.8,8080,6,42,25,11986,28169,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,3447218,192.168.10.31,51858,192.168.1.7,443,6,9,29,1187,29801,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,14561935,192.168.10.23,57307,192.168.1.1,443,6,25,45,12229,17758,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,1515048,172.16.0.94,65002,192.168.1.4,80,6,3573,0,214380,0,0,1,0,0,0,0,DoS Hulk
2026-09-20 08:30:00,7069859,192.168.10.17,52869,192.168.1.6,80,6,19,40,3134,27028,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,12498539,192.168.10.22,62336,192.168.1.8,53,17,35,33,8966,34064,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,10253307,192.168.10.40,62044,192.168.1.8,80,6,22,33,4398,6842,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,11721899,192.168.10.13,51028,192.168.1.4,443,6,34,30,13068,10193,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,8500279,192.168.10.5,58313,192.168.1.8,8080,6,35,8,14607,6028,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,929763,172.16.0.55,53682,192.168.1.4,80,6,4922,0,295320,0,0,1,0,0,0,0,DDoS
2026-09-20 08:30:00,3547395,192.168.10.33,51220,192.168.1.6,443,6,41,7,9868,3455,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,9981487,192.168.10.2,50890,192.168.1.1,443,6,23,23,11661,8440,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,6955064,192.168.10.35,57271,192.168.1.5,443,6,37,12,12969,4227,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,4557605,192.168.10.6,54704,192.168.1.9,443,6,35,33,9831,9492,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,10510621,192.168.10.36,62078,192.168.1.5,443,6,25,16,14614,15660,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,1491044,192.168.10.15,62400,192.168.1.6,53,17,25,45,8197,18106,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,1541187,172.16.0.126,60938,192.168.1.6,80,6,4354,0,261240,0,0,1,0,0,0,0,DDoS
2026-09-20 08:30:00,8782264,192.168.10.39,49833,192.168.1.2,53,17,24,9,3413,5542,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,2210636,192.168.10.15,64308,192.168.1.9,80,6,27,35,10633,12970,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,8884186,192.168.10.23,61975,192.168.1.1,80,6,31,18,17957,12281,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,7386069,192.168.10.40,53525,192.168.1.9,8080,6,8,24,3086,16163,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,6611726,192.168.10.27,51449,192.168.1.3,80,6,19,17,9749,18634,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,1377256,172.16.0.72,53147,192.168.1.6,80,6,1034,0,62040,0,0,1,0,0,0,0,DoS Hulk
2026-09-20 08:30:00,11541280,192.168.10.2,51466,192.168.1.5,80,6,19,9,10602,3871,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,12455356,192.168.10.15,59339,192.168.1.5,53,17,25,41,6464,47268,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,14043851,192.168.10.49,51634,192.168.1.9,8080,6,13,12,1591,7621,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,13367347,192.168.10.38,54649,192.168.1.6,80,6,15,45,5391,23216,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,1462276,192.168.10.12,49674,192.168.1.2,8080,6,38,38,8786,43198,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,2341600,192.168.10.10,53747,192.168.1.3,80,6,38,13,15188,13969,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,14578805,192.168.10.12,53727,192.168.1.2,80,6,27,27,4642,5776,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,1871395,192.168.10.10,63312,192.168.1.8,443,6,18,27,8048,21090,1,1,0,0,1,0,BENIGN
2026-09-20 08:30:00,11097810,192.168.10.20,65094,192.168.1.3,80,6,42,10,6798,11275,1,1,0,0,1,0,BENIGN
